year;type;order;country;artist;title;language;position;score;maxpoints;voters
2013;semifinals 1;15;Belgium;Roberto Bellarosa;"""Love Kills""";English;5;75;12;19
2013;semifinals 1;16;Serbia;Moje 3;"""Ljubav je svuda"" (????? ?? ?????)";Serbian;11;46;12;19
2013;semifinals 2;1;Latvia;PeR;"""Here We Go""";English;17;13;12;19
2013;semifinals 2;2;San Marino;Valentina Monetta;"""Crisalide (Vola)""";Italian;11;47;12;19
2013;semifinals 2;3;Macedonia;Esma & Lozano;"""Pred da se razdeni"" (???? ?? ?? ???????)";Macedonian, Romani;16;28;12;19
2013;semifinals 2;4;Azerbaijan;Farid Mammadov;"""Hold Me""";English;1;139;12;19
2013;semifinals 2;5;Finland;Krista Siegfrids;"""Marry Me""";English;9;64;12;19
2013;semifinals 2;6;Malta;Gianluca;"""Tomorrow""";English;4;118;12;19
2013;semifinals 2;7;Bulgaria;Elitsa Todorova & Stoyan Yankoulov;"""Samo shampioni"" (???? ????????)";Bulgarian;12;45;12;19
2013;semifinals 2;8;Iceland;Eythor Ingi;"""Ég á líf""";Icelandic;6;72;12;19
2013;semifinals 2;9;Greece;Koza Mostra feat. Agathon Iakovidis;"""Alcohol Is Free""";Greek;2;121;12;19
2013;semifinals 2;10;Israel;Moran Mazor;"""Rak Bishvilo"" (?? ??????)";Hebrew;14;40;12;19
2013;semifinals 2;11;Armenia;Dorians;"""Lonely Planet""";English;7;69;12;19
2013;semifinals 2;12;Hungary;ByeAlex;"""Kedvesem"" (Zoohacker Remix)";Hungarian;8;66;12;19
2013;semifinals 2;13;Norway;Margaret Berger;"""I Feed You My Love""";English;3;120;12;19
2013;semifinals 2;14;Albania;Adrian Lulgjuraj & Bledar Sejko;"""Identitet""";Albanian;15;31;12;19
2013;semifinals 2;15;Georgia;Nodi Tatishvili & Sophie Gelovani;"""Waterfall""";English;10;63;12;19
2013;semifinals 2;16;Switzerland;Takasa;"""You and Me""";English;13;41;12;19
2013;semifinals 2;17;Romania;Cezar;"""It's My Life""";English;5;83;12;19
2013;finals;1;France;Amandine Bourgeois;"""L'enfer et moi""";French;23;14;12;39
2013;finals;2;Lithuania;Andrius Pojavis;"""Something""";English;22;17;12;39
2013;finals;3;Moldova;Aliona Moon;"""O mie""";Romanian;11;71;12;39
2013;finals;4;Finland;Krista Siegfrids;"""Marry Me""";English;24;13;12;39
2013;finals;5;Spain;ESDM;"""Contigo hasta el final""";Spanish;25;8;12;39
2013;finals;6;Belgium;Roberto Bellarosa;"""Love Kills""";English;12;71;12;39
